iter	MultiClass
0	1.93782896
1	1.932195925
2	1.927770549
3	1.920864485
4	1.915722253
5	1.911317914
6	1.906878815
7	1.901058878
8	1.896075991
9	1.891240382
10	1.886405898
11	1.882387576
12	1.877594301
13	1.874182299
14	1.869526733
15	1.865549461
16	1.86143308
17	1.856924052
18	1.852629741
19	1.846714705
20	1.841422043
21	1.83690638
22	1.832835828
23	1.826314075
24	1.82142799
25	1.817257423
26	1.812262201
27	1.808554264
28	1.804561782
29	1.799697743
30	1.794591275
31	1.788642982
32	1.784558595
33	1.778078466
34	1.773864313
35	1.768884183
36	1.762915775
37	1.758931107
38	1.755162719
39	1.749595126
40	1.745726118
41	1.742230372
42	1.738431367
43	1.73420385
44	1.729793426
45	1.726199956
46	1.722689796
47	1.718712326
48	1.714611901
49	1.710692271
50	1.706304951
51	1.701005579
52	1.695246409
53	1.690869251
54	1.687024597
55	1.681314522
56	1.676718788
57	1.670206495
58	1.66644011
59	1.66140616
60	1.65723058
61	1.652958203
62	1.648382413
63	1.644491312
64	1.640388224
65	1.636102627
66	1.631950543
67	1.627935748
68	1.623695445
69	1.618845957
70	1.614784578
71	1.610678799
72	1.604935334
73	1.600668715
74	1.594276877
75	1.589728278
76	1.585954485
77	1.581854998
78	1.577290109
79	1.572614909
80	1.568604296
81	1.564912311
82	1.561216738
83	1.556669698
84	1.552875718
85	1.549143013
86	1.54464781
87	1.540393287
88	1.536624048
89	1.532860144
90	1.529064029
91	1.524201753
92	1.520140933
93	1.516255498
94	1.512280025
95	1.508009353
96	1.503543368
97	1.499339047
98	1.494884241
99	1.491129861
100	1.487174198
101	1.483538039
102	1.479876926
103	1.474292089
104	1.470504444
105	1.466888563
106	1.463072326
107	1.459779791
108	1.455259751
109	1.451291638
110	1.447196004
111	1.442304439
112	1.43776947
113	1.433849044
114	1.430682603
115	1.427143962
116	1.423624855
117	1.41901313
118	1.415486668
119	1.411869951
120	1.408595797
121	1.40436413
122	1.400927277
123	1.397631056
124	1.394004079
125	1.390881967
126	1.387221774
127	1.383195398
128	1.379968448
129	1.376452168
130	1.372577644
131	1.369554099
132	1.36606058
133	1.362733369
134	1.358872394
135	1.35546711
136	1.352091105
137	1.346770325
138	1.342130633
139	1.33840981
140	1.33494021
141	1.331674969
142	1.32819857
143	1.325118514
144	1.321864156
145	1.318426644
146	1.31468656
147	1.311087809
148	1.308112586
149	1.305096801
150	1.301913671
151	1.298842889
152	1.295127501
153	1.292217937
154	1.289042722
155	1.285712339
156	1.283009331
157	1.279512584
158	1.276947406
159	1.273984946
160	1.270184381
161	1.266811438
162	1.263721106
163	1.260529587
164	1.257729448
165	1.254444324
166	1.251374249
167	1.248328259
168	1.245086497
169	1.241964273
170	1.238797994
171	1.235846745
172	1.232326745
173	1.229673007
174	1.227117139
175	1.224157026
176	1.220766086
177	1.217400802
178	1.214325672
179	1.210818777
180	1.208199565
181	1.205282717
182	1.202774529
183	1.199752553
184	1.196820195
185	1.193924957
186	1.191411696
187	1.188470739
188	1.185462323
189	1.182014628
190	1.178964282
191	1.176225799
192	1.173161404
193	1.170595807
194	1.166932578
195	1.164132215
196	1.161765213
197	1.15912204
198	1.156492929
199	1.154060129
200	1.151177792
201	1.148007205
202	1.145044416
203	1.142504632
204	1.140362744
205	1.137591332
206	1.13486451
207	1.131176706
208	1.128704239
209	1.125706379
210	1.122750632
211	1.120080778
212	1.117653144
213	1.114897715
214	1.112011961
215	1.10971433
216	1.107093107
217	1.10435803
218	1.102170267
219	1.099933886
220	1.097445621
221	1.094694743
222	1.092430289
223	1.089948177
224	1.087647293
225	1.08521717
226	1.082746962
227	1.080247609
228	1.077539599
229	1.074908588
230	1.072729091
231	1.069762781
232	1.066823555
233	1.064226787
234	1.061887839
235	1.059454345
236	1.056593777
237	1.053836541
238	1.050778525
239	1.048500604
240	1.045821571
241	1.043644746
242	1.041202967
243	1.038772285
244	1.035979146
245	1.033694924
246	1.031827507
247	1.029260067
248	1.026332984
249	1.023749624
250	1.021331053
251	1.019159084
252	1.017009945
253	1.014985813
254	1.012916879
255	1.010837252
256	1.008664954
257	1.006368862
258	1.004413361
259	1.002295757
260	0.999941064
261	0.9978558406
262	0.9956004172
263	0.9929312533
264	0.9902006325
265	0.9881384701
266	0.9860499155
267	0.9839676588
268	0.9811014618
269	0.9790307518
270	0.9766789028
271	0.9741816063
272	0.9719571582
273	0.9698458222
274	0.9675620363
275	0.9653917305
276	0.9631583972
277	0.9610044854
278	0.9584659942
279	0.9561654967
280	0.9537336329
281	0.952039083
282	0.9500439016
283	0.9476966383
284	0.9454327814
285	0.9431542475
286	0.9411293373
287	0.9392343959
288	0.9372174179
289	0.9348922678
290	0.9324045461
291	0.9304925323
292	0.9282883691
293	0.9261058981
294	0.9239388502
295	0.92160486
296	0.9197932422
297	0.9177274051
298	0.9156508516
299	0.9133370094
300	0.9114997727
301	0.909643798
302	0.9075775405
303	0.9047623278
304	0.9023018756
305	0.9006551805
306	0.8986978782
307	0.896463122
308	0.8942537998
309	0.8922459216
310	0.8900370217
311	0.8881710254
312	0.8863366153
313	0.8843670339
314	0.8821839763
315	0.8802293127
316	0.8784681638
317	0.8763212471
318	0.8744303121
319	0.8714894691
320	0.8697518031
321	0.8678280999
322	0.8660639458
323	0.8641178827
324	0.8617680011
325	0.8598278831
326	0.8580299565
327	0.8563436637
328	0.8543291408
329	0.8524408396
330	0.8502403556
331	0.8483484013
332	0.8463458841
333	0.8447444465
334	0.8426013952
335	0.8407040089
336	0.8388691241
337	0.8369224412
338	0.8351260467
339	0.8333833162
340	0.8318241697
341	0.829819672
342	0.8280164841
343	0.8262614266
344	0.8242518685
345	0.8226985179
346	0.821011228
347	0.8191200569
348	0.8174447514
349	0.8156708589
350	0.8140491646
351	0.8125297511
352	0.8103468848
353	0.8086941702
354	0.8070661373
355	0.8056567315
356	0.804163727
357	0.8027188625
358	0.8012018018
359	0.7995341512
360	0.7980250824
361	0.7960548397
362	0.7944367632
363	0.7925456169
364	0.7909358444
365	0.7895055631
366	0.7879056565
367	0.7861321565
368	0.7846678299
369	0.7828613108
370	0.781318113
371	0.779410042
372	0.7777706131
373	0.7761809059
374	0.7748110049
375	0.7733954703
376	0.7719655144
377	0.7704195733
378	0.7687686635
379	0.7670165126
380	0.7656054631
381	0.7638895524
382	0.7624717692
383	0.7608665241
384	0.7593924808
385	0.757766367
386	0.7562840395
387	0.7546239109
388	0.7530877693
389	0.7515720774
390	0.7501646337
391	0.7489434435
392	0.7474191351
393	0.7459222524
394	0.7443732037
395	0.7429188556
396	0.7413823672
397	0.7398006351
398	0.7384046983
399	0.7368814406
400	0.735373806
401	0.7341168787
402	0.7325609666
403	0.7308434235
404	0.7293085449
405	0.7278158896
406	0.7261278647
407	0.7249103773
408	0.7235920139
409	0.7217060523
410	0.7203653135
411	0.7189038339
412	0.7175899334
413	0.7162969571
414	0.7148238388
415	0.7135804616
416	0.7123404707
417	0.7111195269
418	0.7098028042
419	0.708632684
420	0.7073870729
421	0.7058338493
422	0.7047002188
423	0.7034595509
424	0.7022796958
