iter	Passed	Remaining
0	1393	11148121
1	2753	11012831
2	4148	11057567
3	5538	11072459
4	6899	11033015
5	8257	11002079
6	9584	10943681
7	10961	10950570
8	12332	10950011
9	13684	10933539
10	15028	10914569
11	16370	10897625
12	17731	10894025
13	19096	10893319
14	20464	10894085
15	21835	10896067
16	23180	10885055
17	24575	10897966
18	25914	10885589
19	27234	10866736
20	28552	10848772
21	29921	10850746
22	31312	10859867
23	32672	10858239
24	34057	10864193
25	35449	10872088
26	36836	10877666
27	38136	10857991
28	39439	10840550
29	40794	10837659
30	42106	10824091
31	43455	10820511
32	44741	10801764
33	46089	10798399
34	47453	10799144
35	48900	10817976
36	50219	10808068
37	51502	10791120
38	52772	10772348
39	54083	10762641
40	55418	10758023
41	56732	10749434
42	58050	10741970
43	59421	10744402
44	60711	10732419
45	62000	10720745
46	63297	10710787
47	64595	10701327
48	65873	10688949
49	67139	10675119
50	68429	10665577
51	69747	10660708
52	71008	10647188
53	72295	10638154
54	73637	10637206
55	74864	10620007
56	76166	10613822
57	77425	10601999
58	78694	10591799
59	79952	10580337
60	81202	10568270
61	82448	10556112
62	83703	10545334
63	85066	10548292
64	86273	10532055
65	87590	10529467
66	88847	10519835
67	90097	10509657
68	91314	10495866
69	92575	10487494
70	93817	10477146
71	95030	10463901
72	96234	10449964
73	97407	10433173
74	98610	10419861
75	99887	10414536
76	101132	10406124
77	102330	10393058
78	103669	10394498
79	105064	10401400
80	106519	10413879
81	107858	10414956
82	109086	10405246
83	110314	10395869
84	111552	10387519
85	112779	10378335
86	113978	10366769
87	115176	10355371
88	116385	10345273
89	117608	10336453
90	118819	10326891
91	120012	10315878
92	121238	10307909
93	122467	10300329
94	123635	10287764
95	124869	10280945
96	126096	10273654
97	127317	10265938
98	128531	10257850
99	129708	10246948
100	130980	10243744
101	132246	10240043
102	133487	10234489
103	134681	10225435
104	135945	10221828
105	137179	10215954
106	138401	10209363
107	139648	10204669
108	140893	10199945
109	142148	10195918
110	143361	10189017
111	144618	10185245
112	145856	10180301
113	147060	10172961
114	148298	10168150
115	149546	10164005
116	150762	10157760
117	151993	10152677
118	153263	10150153
119	154521	10146892
120	155812	10145841
121	157039	10140663
122	158289	10136952
123	159522	10132279
124	160809	10130968
125	162078	10128615
126	163316	10124351
127	164560	10120475
128	165793	10115965
129	167050	10112988
130	168361	10113259
131	169638	10111461
132	170895	10108533
133	172153	10105678
134	173424	10103607
135	174702	10101932
136	175958	10099001
137	177224	10096654
138	178530	10096607
139	179808	10094964
140	181074	10092677
141	182310	10088730
142	183592	10087337
143	184826	10083336
144	186115	10082309
145	187374	10079740
146	188663	10078754
147	189923	10076200
148	191150	10071970
149	192327	10065127
150	193570	10061805
151	194822	10058995
152	196082	10056590
153	197324	10053320
154	198575	10050504
155	199782	10045452
156	201082	10045182
157	202340	10042742
158	203593	10040091
159	204868	10038536
160	206126	10036203
161	207349	10032154
162	208572	10028132
163	209796	10024167
164	211076	10022956
165	212346	10021214
166	213650	10021083
167	214911	10018978
168	216172	10016864
169	217466	10016250
170	218677	10011849
171	219912	10008586
172	221159	10005884
173	222412	10003446
174	223655	10000600
175	224932	9999258
176	226162	9995849
177	227412	9993356
178	228676	9991511
179	229978	9991282
180	231256	9990033
181	232539	9988972
182	233807	9987266
183	235103	9986801
184	236463	9988985
185	237681	9985170
186	238923	9982412
187	240206	9981359
188	241457	9978968
189	242749	9978273
190	244006	9976155
191	245270	9974342
192	246532	9972421
193	247746	9968623
194	249001	9966425
195	250272	9964944
196	251554	9963871
197	252827	9962432
198	254051	9959083
199	255269	9955501
200	256520	9953237
201	257814	9952653
202	259067	9950498
203	260323	9948458
204	261556	9945527
205	262842	9944637
206	264095	9942508
207	265314	9939076
208	266578	9937373
209	267815	9934683
210	269058	9932218
211	270297	9929602
212	271541	9927216
213	272797	9925252
214	274053	9923276
215	275311	9921407
216	276593	9920411
217	277844	9918267
218	279107	9916617
219	280408	9916247
220	281690	9915233
221	282901	9911760
222	284150	9909599
223	285429	9908498
224	286661	9905762
225	287958	9905269
226	289245	9904433
227	290470	9901468
228	291725	9899567
229	292999	9898303
230	294257	9896465
231	295466	9893047
232	296762	9892499
233	298025	9890881
234	299267	9888562
235	300542	9887335
236	301791	9885268
237	303096	9885034
238	304374	9883884
239	305630	9882057
240	306896	9880555
241	308178	9879542
242	309442	9877978
243	310699	9876167
244	311913	9873003
245	313163	9871014
246	314417	9869138
247	315663	9867029
248	316913	9865059
249	318146	9862553
250	319398	9860637
251	320723	9860980
252	321985	9859387
253	323236	9857429
254	324478	9855246
255	325746	9853828
256	326963	9850900
257	328231	9849499
258	329471	9847242
259	330702	9844763
260	331956	9842969
261	333241	9842065
262	334488	9840073
263	335730	9837910
264	336953	9835222
265	338172	9832423
266	339503	9832880
267	340790	9832050
268	341995	9828880
269	343263	9827512
270	344531	9826145
271	345785	9824362
272	347008	9821728
273	348261	9819954
274	349501	9817824
275	350727	9815298
276	351981	9813542
277	353214	9811223
278	354431	9808473
279	355664	9806175
280	356928	9804734
281	358173	9802789
282	359441	9801448
283	360677	9799247
284	361911	9796998
285	363172	9795506
286	364386	9792725
287	365700	9792637
288	366969	9791352
289	368203	9789145
290	369482	9788119
291	370720	9786008
292	371956	9783862
293	373239	9782930
294	374525	9782088
295	375818	9781443
296	377078	9779916
297	378366	9779116
298	379620	9777455
299	380892	9776236
300	382168	9775144
301	383416	9773324
302	384671	9771670
303	385949	9770618
304	387227	9769569
305	388504	9768469
306	389761	9766901
307	391001	9764891
308	392262	9763393
309	393515	9761723
310	394762	9759895
311	396038	9758803
312	397274	9756699
313	398556	9755751
314	399818	9754307
315	401361	9759683
316	402639	9758610
317	403902	9757178
318	405235	9757406
319	406509	9756219
320	407781	9754987
321	409023	9753053
322	410292	9751760
323	411577	9750826
324	412851	9749654
325	414138	9748766
326	415399	9747272
327	416653	9745633
328	417924	9744370
329	419211	9743491
330	420456	9741643
331	421710	9739995
332	422979	9738684
333	424242	9737260
334	425503	9735784
335	426744	9733837
336	427928	9730608
337	429143	9728093
338	430415	9726891
339	431709	9726160
340	432967	9724634
341	434248	9723604
342	435507	9722104
343	436788	9721076
344	438060	9719866
345	439286	9717633
346	440575	9716793
347	441831	9715214
348	443085	9713600
349	444376	9712793
350	445617	9710908
351	446934	9710677
352	448189	9709083
353	449433	9707259
354	450704	9706022
355	451972	9704711
356	453224	9703071
357	454467	9701224
358	455786	9701025
359	457073	9700117
360	458333	9698636
361	459585	9697007
362	460842	9695468
363	462039	9692667
364	463311	9691467
365	464555	9689668
366	465820	9688307
367	467077	9686778
368	468315	9684872
369	469552	9682939
370	470755	9680310
371	472029	9679152
372	473331	9678549
373	474607	9677434
374	475852	9675673
375	477139	9674771
376	478440	9674145
377	479737	9673444
378	481013	9672311
379	482297	9671324
380	483549	9669721
381	484789	9667868
382	486041	9666269
383	487316	9665113
384	488627	9664671
385	489834	9662169
386	491084	9660527
387	492379	9659772
388	493640	9658356
389	494847	9655866
390	496117	9654624
391	497371	9653061
392	498612	9651259
393	499848	9649364
394	501075	9647297
395	502314	9645450
396	503605	9644614
397	504834	9642599
398	506113	9641530
399	507395	9640509
400	508673	9639435
401	510018	9639610
402	511304	9638665
403	512531	9636608
404	513769	9634766
405	515048	9633693
406	516339	9632838
407	517560	9630678
408	518811	9629084
409	520099	9628176
410	521317	9625976
411	522570	9624437
412	523830	9623003
413	525122	9622169
414	526379	9620688
415	527613	9618797
416	528909	9618035
417	530157	9616396
418	531390	9614491
419	532653	9613130
420	533938	9612154
421	535202	9610807
422	536427	9608767
423	537732	9608166
424	538989	9606701
425	540243	9605178
426	541531	9604263
427	542829	9603515
428	544132	9602858
429	545404	9601650
430	546694	9600766
431	547915	9598674
432	549181	9597357
433	550447	9596058
434	551724	9594938
435	553030	9594315
436	554435	9595411
437	555790	9595634
438	557218	9597101
439	558625	9598201
440	560081	9600130
441	561385	9599437
442	562654	9598141
443	563966	9597585
444	565244	9596461
445	566479	9594581
446	567789	9593997
447	569065	9592819
448	570296	9590890
449	571514	9588744
450	572734	9586642
451	573972	9584831
452	575223	9583242
453	576480	9581762
454	577726	9580102
455	579022	9579258
456	580260	9577479
457	581505	9575797
458	582792	9574817
459	584092	9574032
460	585365	9572823
461	586625	9571393
462	587874	9569777
463	589120	9568135
464	590347	9566172
465	591658	9565567
466	592878	9563498
467	594164	9562501
468	595393	9560577
469	596668	9559387
470	597935	9558075
471	599162	9556136
472	600435	9554927
473	601771	9554704
474	603056	9553690
475	604340	9552637
476	605625	9551618
477	606852	9549673
478	608137	9548651
479	609349	9546468
480	610648	9545673
481	611898	9544097
482	613384	9546196
483	614981	9550004
484	616291	9549336
485	617571	9548215
486	618850	9547078
487	620123	9545829
488	621390	9544503
489	622697	9543799
490	623949	9542239
491	625265	9541652
492	626527	9540244
493	627781	9538714
494	629073	9537777
495	630324	9536198
496	631585	9534785
497	632925	9534550
498	634246	9534040
499	635458	9531878
500	636819	9531953
501	638086	9530619
502	639307	9528599
503	640581	9527377
504	641850	9526083
505	643107	9524598
506	644420	9523950
507	645627	9521738
508	646840	9519616
509	648166	9519147
510	649481	9518530
511	650764	9517425
512	651992	9515531
513	653285	9514578
514	654484	9512267
515	655741	9510797
516	656979	9509046
517	658182	9506798
518	659477	9505883
519	660887	9506618
520	662309	9507516
521	663690	9507815
522	665115	9508734
523	666563	9509981
524	667831	9508650
525	669070	9506912
526	670370	9506036
527	671623	9504483
528	672816	9502105
529	674082	9500741
530	675318	9498966
531	676562	9497309
532	677829	9495973
533	679113	9494865
534	680368	9493363
535	681647	9492189
536	682895	9490587
537	684159	9489213
538	685514	9489091
539	687495	9497625
540	689195	9502230
541	690921	9507183
542	692134	9505063
543	693299	9502278
544	694483	9499770
545	695715	9497915
546	696922	9495734
547	698086	9492952
548	699217	9489742
549	700460	9488053
550	701671	9485934
551	702818	9482957
552	704029	9480849
553	705178	9477908
554	706368	9475514
555	707530	9472762
556	708727	9470480
557	709870	9467484
558	711036	9464799
559	712233	9462528
560	713385	9459665
